epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.173,4.31146,7.53943,3.1465,0,0,0,0,5.587,6.78707,3.48313,2e-05,2e-05,2e-05
2,25.2505,4.19029,6.91695,2.84723,0,0,0,0,3.41963,7.23921,2.83537,5.9703e-05,5.9703e-05,5.9703e-05
3,37.3054,2.93274,5.73514,2.19483,0,0,0,0,2.99746,6.08393,2.26298,9.901e-05,9.901e-05,9.901e-05
4,49.3221,2.06688,4.66629,1.62516,0,0,0,0,2.98972,4.65357,1.98235,0.000137921,0.000137921,0.000137921
5,61.5138,1.8154,4.25665,1.34494,0.00333,1,0.005,0.0015,2.06756,4.45966,1.63366,0.000176436,0.000176436,0.000176436
6,73.3592,1.68853,3.84848,1.31157,0.00333,1,0.01005,0.00265,1.70107,4.34018,1.40718,0.000214555,0.000214555,0.000214555
7,85.3093,1.71999,3.38426,1.20762,0.00333,1,0.01171,0.00585,1.54509,4.2514,1.32287,0.000252278,0.000252278,0.000252278
8,97.6582,1.5024,3.49585,1.18904,0.00333,1,0.01082,0.00541,1.17053,4.1274,1.21575,0.000289605,0.000289605,0.000289605
9,110.415,1.40335,2.63926,1.10002,0.00333,1,0.00966,0.0058,1.44557,3.8945,1.03758,0.000326536,0.000326536,0.000326536
10,122.203,1.46025,2.53398,1.12832,0.00333,1,0.01047,0.00838,0.84206,3.9408,0.88739,0.000363071,0.000363071,0.000363071
11,134.266,1.50947,2.10446,1.10362,0.00333,1,0.33167,0.16891,0.89925,3.82888,0.87935,0.00039921,0.00039921,0.00039921
12,145.97,1.57673,2.158,1.1387,0.00333,1,0.199,0.02493,0.85071,4.13689,0.90523,0.000434953,0.000434953,0.000434953
13,157.949,1.35668,2.16653,1.07324,0.00333,1,0.01106,0.00721,0.98884,4.17171,1.00228,0.0004703,0.0004703,0.0004703
14,169.915,1.44896,1.96454,1.17928,0.00333,1,0.01131,0.00565,0.94434,4.04025,0.9229,0.000505251,0.000505251,0.000505251
15,181.808,1.45938,2.26743,1.09095,0.00333,1,0.00995,0.00497,1.21087,3.91059,1.00845,0.000539806,0.000539806,0.000539806
16,193.819,1.37562,1.92996,1.07866,0.00333,1,0.0107,0.00535,1.00697,3.95878,1.07284,0.000573965,0.000573965,0.000573965
17,205.902,1.23393,2.07579,1.09009,0.00333,1,0.01106,0.00884,0.84418,3.67657,0.90459,0.000607728,0.000607728,0.000607728
18,217.648,1.2624,1.8269,1.064,0.00333,1,0.01082,0.00973,0.67904,3.7515,0.84955,0.000641095,0.000641095,0.000641095
19,229.282,1.17742,1.74539,0.99153,0.00333,1,0.0107,0.00642,1.1085,3.84308,0.93073,0.000674066,0.000674066,0.000674066
20,241.189,1.27248,1.69198,1.03777,0.00333,1,0.01047,0.00838,0.79319,3.5214,0.85974,0.000706641,0.000706641,0.000706641
21,253.325,1.23404,1.83316,1.05452,0.00333,1,0.06633,0.0597,0.7222,3.49315,0.82951,0.00073882,0.00073882,0.00073882
22,265.121,1.13848,1.64027,1.06042,0.00333,1,0.995,0.8955,0.49568,3.62878,0.83866,0.000770603,0.000770603,0.000770603
23,276.964,1.3259,1.80847,1.0184,0.00333,1,0.03015,0.02111,0.7541,3.47661,0.85681,0.00080199,0.00080199,0.00080199
24,288.908,1.20489,1.72164,1.0417,0.00333,1,0.0085,0.0051,0.63607,3.74367,0.99984,0.000832981,0.000832981,0.000832981
25,300.682,1.18412,1.6314,1.02735,0.00333,1,0.00754,0.00452,0.76938,3.56507,0.98979,0.000863576,0.000863576,0.000863576
26,312.496,1.23123,1.80248,1.08611,0.00333,1,0.00975,0.00683,1.13286,3.86829,0.8612,0.000893775,0.000893775,0.000893775
27,324.695,1.15181,1.61697,0.96789,0.00333,1,0.4975,0.398,0.99022,3.52027,0.84839,0.000923578,0.000923578,0.000923578
28,337.142,1.00187,1.54485,0.97644,0.00333,1,0.4975,0.398,0.99022,3.52027,0.84839,0.000952985,0.000952985,0.000952985
29,349.964,1.13958,1.72505,1.04158,0.00333,1,0.33167,0.23217,1.01192,3.54481,0.8643,0.000981996,0.000981996,0.000981996
30,362.022,1.12178,1.54401,1.01109,0.00333,1,0.03431,0.02402,1.00995,3.62155,0.85781,0.00101061,0.00101061,0.00101061
31,373.924,1.05108,1.60177,1.01463,0.00333,1,0.03431,0.02402,1.00995,3.62155,0.85781,0.00103883,0.00103883,0.00103883
32,386.102,1.15551,1.40084,1.0365,0.00333,1,0.00701,0.00561,1.05745,3.62969,0.88176,0.00106665,0.00106665,0.00106665
33,398.181,1.03066,1.60337,1.00626,0.00333,1,0.00686,0.0048,1.03805,3.60999,1.0095,0.00109408,0.00109408,0.00109408
34,410.118,1.11852,1.42807,1.01388,0.00333,1,0.00686,0.0048,1.03805,3.60999,1.0095,0.00112111,0.00112111,0.00112111
35,422.117,0.93762,1.63003,0.9641,0.00333,1,0.00696,0.00417,1.37982,3.50636,1.07479,0.00114775,0.00114775,0.00114775
36,434.218,1.09711,1.45052,0.98873,0.00333,1,0.00711,0.00497,1.46679,3.74015,1.06524,0.00117399,0.00117399,0.00117399
37,446.069,1.15141,1.6558,1.10454,0.00333,1,0.00711,0.00497,1.46679,3.74015,1.06524,0.00119983,0.00119983,0.00119983
38,458.108,1.04712,1.48958,1.02408,0.00333,1,0.00796,0.00478,1.46701,3.52823,1.1628,0.00122528,0.00122528,0.00122528
39,470.021,1.01564,1.30787,0.92934,0.00333,1,0.0107,0.00642,1.6655,3.40553,1.31814,0.00125033,0.00125033,0.00125033
40,481.908,1.19664,1.67412,0.99348,0.00333,1,0.0107,0.00642,1.6655,3.40553,1.31814,0.00127498,0.00127498,0.00127498
41,493.947,1.11864,1.50024,0.99982,0.00333,1,0.4975,0.2985,1.65768,3.47493,1.08164,0.00129924,0.00129924,0.00129924
42,505.839,1.06879,1.51069,1.01691,0.00333,1,0.995,0.8955,0.91528,3.41636,0.85646,0.0013231,0.0013231,0.0013231
43,517.64,1.3108,1.51625,0.99789,0.00333,1,0.995,0.8955,0.91528,3.41636,0.85646,0.00134657,0.00134657,0.00134657
44,529.325,1.20962,1.50002,1.00694,0.00333,1,0.995,0.8955,0.98423,3.0512,0.90173,0.00136964,0.00136964,0.00136964
45,540.977,1.04646,1.28486,1.00031,0.00333,1,0.995,0.8955,0.98423,3.0512,0.90173,0.00139232,0.00139232,0.00139232
46,552.894,0.98036,1.31653,0.94411,0.00831,1,0.995,0.6965,1.15665,2.57351,1.24558,0.0014146,0.0014146,0.0014146
47,564.492,1.11318,1.26868,1.01672,0.00831,1,0.995,0.6965,1.15665,2.57351,1.24558,0.00143648,0.00143648,0.00143648
48,576.223,1.18479,1.4561,1.04981,0.76595,1,0.995,0.796,0.93514,2.31414,1.1615,0.00145797,0.00145797,0.00145797
49,588.243,1.10935,1.52234,1.09807,0.76595,1,0.995,0.796,0.93514,2.31414,1.1615,0.00147906,0.00147906,0.00147906
50,599.926,1.14875,1.37918,1.04519,0.88532,1,0.995,0.796,0.96963,2.20831,1.13052,0.00149975,0.00149975,0.00149975
51,611.969,1.07919,1.34444,1.02758,0.88532,1,0.995,0.796,0.96963,2.20831,1.13052,0.001505,0.001505,0.001505
52,624.033,1.09186,1.31146,1.0589,0.90529,1,0.995,0.597,1.29314,2.24422,1.1273,0.0014951,0.0014951,0.0014951
53,635.819,1.03712,1.39678,1.01224,0.90529,1,0.995,0.597,1.29314,2.24422,1.1273,0.0014852,0.0014852,0.0014852
54,647.941,1.18037,1.29698,1.00779,0.88634,1,0.995,0.59742,1.26481,2.12628,1.16065,0.0014753,0.0014753,0.0014753
55,660.819,1.02758,1.31074,1.03673,0.88634,1,0.995,0.59742,1.26481,2.12628,1.16065,0.0014654,0.0014654,0.0014654
56,674.521,1.10418,1.56021,1.08162,0.86569,1,0.995,0.796,0.63694,1.90317,1.03621,0.0014555,0.0014555,0.0014555
57,686.401,1.16154,1.26862,0.96627,0.86569,1,0.995,0.796,0.63694,1.90317,1.03621,0.0014456,0.0014456,0.0014456
58,698.489,0.95341,1.44223,0.97607,0.88348,1,0.995,0.796,0.76908,1.76282,1.07577,0.0014357,0.0014357,0.0014357
59,710.301,1.06605,1.20676,0.9947,0.88348,1,0.995,0.796,0.76908,1.76282,1.07577,0.0014258,0.0014258,0.0014258
60,722.288,1.04493,1.25194,0.94397,0.93833,1,0.995,0.59752,1.35925,1.45947,1.21278,0.0014159,0.0014159,0.0014159
61,734.069,0.97885,1.31706,0.99395,0.93833,1,0.995,0.59752,1.35925,1.45947,1.21278,0.001406,0.001406,0.001406
62,745.977,0.88022,1.23538,0.94512,0.95535,1,0.995,0.6965,1.02088,1.30107,1.00838,0.0013961,0.0013961,0.0013961
63,757.626,1.04454,1.25262,0.94403,0.95535,1,0.995,0.6965,1.02088,1.30107,1.00838,0.0013862,0.0013862,0.0013862
64,769.512,0.98356,1.16036,0.95917,0.95682,1,0.995,0.796,0.80113,1.27804,0.98691,0.0013763,0.0013763,0.0013763
65,781.07,1.14009,1.24901,0.98287,0.95682,1,0.995,0.796,0.80113,1.27804,0.98691,0.0013664,0.0013664,0.0013664
66,793.009,0.98796,1.50954,0.97933,0.95154,1,0.995,0.796,0.84731,1.25199,0.99846,0.0013565,0.0013565,0.0013565
67,804.91,0.8265,1.15911,0.93184,0.95154,1,0.995,0.796,0.84731,1.25199,0.99846,0.0013466,0.0013466,0.0013466
68,816.64,0.88581,1.17667,0.94628,0.95016,1,0.995,0.796,0.76178,1.23475,0.9943,0.0013367,0.0013367,0.0013367
69,828.896,0.99283,1.1093,0.89406,0.95016,1,0.995,0.796,0.76178,1.23475,0.9943,0.0013268,0.0013268,0.0013268
70,840.91,0.83076,1.12782,0.93479,0.95261,1,0.995,0.8955,0.87594,1.42078,1.11022,0.0013169,0.0013169,0.0013169
71,852.945,0.95978,1.15548,0.95114,0.95261,1,0.995,0.8955,0.87594,1.42078,1.11022,0.001307,0.001307,0.001307
72,864.964,0.88031,1.17639,0.91884,0.92984,1,0.995,0.8955,0.66879,1.4199,1.07545,0.0012971,0.0012971,0.0012971
73,877.17,0.83301,1.07628,0.87472,0.92984,1,0.995,0.8955,0.66879,1.4199,1.07545,0.0012872,0.0012872,0.0012872
74,889.692,0.92237,1.11488,0.9897,0.96697,1,0.995,0.8955,0.68947,1.18415,1.05525,0.0012773,0.0012773,0.0012773
75,901.755,0.84689,1.06248,0.91484,0.96697,1,0.995,0.8955,0.68947,1.18415,1.05525,0.0012674,0.0012674,0.0012674
76,913.926,0.84909,1.13457,0.97544,0.96957,1,0.995,0.796,0.89334,0.91091,1.0384,0.0012575,0.0012575,0.0012575
77,925.87,0.82268,1.08254,0.92124,0.96957,1,0.995,0.796,0.89334,0.91091,1.0384,0.0012476,0.0012476,0.0012476
78,937.906,0.91547,0.93757,0.96916,0.9695,1,0.995,0.6965,1.09605,1.0883,1.06148,0.0012377,0.0012377,0.0012377
79,949.844,0.82551,1.13557,0.92089,0.9695,1,0.995,0.6965,1.09605,1.0883,1.06148,0.0012278,0.0012278,0.0012278
80,962.569,0.92947,1.06259,0.95729,0.96859,1,0.995,0.796,0.81154,0.93177,1.0161,0.0012179,0.0012179,0.0012179
81,975.155,0.86886,0.98417,0.94619,0.96859,1,0.995,0.796,0.81154,0.93177,1.0161,0.001208,0.001208,0.001208
82,987.064,0.82141,1.10581,0.93212,0.96944,1,0.995,0.796,0.8485,1.04783,1.24023,0.0011981,0.0011981,0.0011981
83,999.253,1.09623,1.14624,1.02455,0.96944,1,0.995,0.796,0.8485,1.04783,1.24023,0.0011882,0.0011882,0.0011882
84,1011.39,1.12938,1.26084,1.01904,0.97156,1,0.995,0.8955,0.57939,0.94105,1.29238,0.0011783,0.0011783,0.0011783
85,1023.51,1.03994,1.14516,1.0039,0.97156,1,0.995,0.8955,0.57939,0.94105,1.29238,0.0011684,0.0011684,0.0011684
86,1035.8,1.04128,1.11048,1.03159,0.97177,1,0.995,0.6965,1.06914,0.96713,1.19666,0.0011585,0.0011585,0.0011585
87,1047.73,0.88714,1.0267,0.95002,0.97177,1,0.995,0.6965,1.06914,0.96713,1.19666,0.0011486,0.0011486,0.0011486
88,1059.63,0.84975,0.99124,0.97055,0.97169,1,0.995,0.796,1.00381,0.82514,1.10782,0.0011387,0.0011387,0.0011387
89,1071.42,0.83042,0.93795,0.94299,0.97169,1,0.995,0.796,1.00381,0.82514,1.10782,0.0011288,0.0011288,0.0011288
90,1083.22,0.9576,1.08293,0.95427,0.97199,1,0.995,0.8955,0.63778,0.95583,1.05079,0.0011189,0.0011189,0.0011189
91,1095.01,0.80756,0.92549,0.96589,0.97199,1,0.995,0.8955,0.63778,0.95583,1.05079,0.001109,0.001109,0.001109
92,1107.03,0.77766,1.02374,0.97839,0.97197,1,0.995,0.796,0.61605,0.9347,0.99567,0.0010991,0.0010991,0.0010991
93,1119.07,0.79134,1.10397,0.97157,0.97197,1,0.995,0.796,0.61605,0.9347,0.99567,0.0010892,0.0010892,0.0010892
94,1130.86,0.93156,1.02408,0.98334,0.97185,1,0.995,0.8955,0.54724,0.97064,1.03921,0.0010793,0.0010793,0.0010793
95,1142.62,0.96162,0.89019,0.95182,0.97185,1,0.995,0.8955,0.54724,0.97064,1.03921,0.0010694,0.0010694,0.0010694
96,1154.69,0.82832,0.91441,0.94935,0.97104,1,0.995,0.796,0.62619,1.03502,1.06181,0.0010595,0.0010595,0.0010595
97,1166.55,0.96341,0.99197,0.97516,0.97104,1,0.995,0.796,0.62619,1.03502,1.06181,0.0010496,0.0010496,0.0010496
98,1178.55,0.85815,1.02983,0.94808,0.97048,1,0.995,0.8955,0.47391,0.8561,1.0007,0.0010397,0.0010397,0.0010397
99,1190.59,0.83197,0.93324,0.9597,0.97048,1,0.995,0.8955,0.47391,0.8561,1.0007,0.0010298,0.0010298,0.0010298
100,1202.62,0.84178,0.92136,0.9003,0.97138,1,0.995,0.796,0.80959,1.11984,0.97864,0.0010199,0.0010199,0.0010199
101,1214.9,0.71384,0.8742,0.87965,0.97138,1,0.995,0.796,0.80959,1.11984,0.97864,0.00101,0.00101,0.00101
102,1227.14,0.70462,0.86069,0.88563,0.97218,1,0.995,0.6965,1.18278,1.16175,1.04933,0.0010001,0.0010001,0.0010001
103,1238.96,0.81077,0.98065,0.96651,0.97218,1,0.995,0.6965,1.18278,1.16175,1.04933,0.0009902,0.0009902,0.0009902
104,1251.55,0.78045,0.88104,0.87958,0.97276,1,0.995,0.597,1.3059,0.9763,1.0927,0.0009803,0.0009803,0.0009803
105,1263.2,0.79734,0.88717,0.90815,0.97276,1,0.995,0.597,1.3059,0.9763,1.0927,0.0009704,0.0009704,0.0009704
106,1275.3,0.78216,1.00006,0.90311,0.97269,1,0.995,0.796,0.79675,0.81082,1.02086,0.0009605,0.0009605,0.0009605
107,1287.18,0.73857,0.85167,0.91244,0.97269,1,0.995,0.796,0.79675,0.81082,1.02086,0.0009506,0.0009506,0.0009506
108,1298.83,0.77672,0.86877,0.92077,0.973,1,0.995,0.995,0.40166,0.81546,0.96699,0.0009407,0.0009407,0.0009407
109,1310.51,0.76521,0.88068,0.91907,0.973,1,0.995,0.995,0.40166,0.81546,0.96699,0.0009308,0.0009308,0.0009308
110,1322.6,0.73023,0.88326,0.92293,0.97188,1,0.995,0.8955,0.51455,0.79816,0.98259,0.0009209,0.0009209,0.0009209
111,1334.95,0.77126,0.80996,0.86068,0.97188,1,0.995,0.8955,0.51455,0.79816,0.98259,0.000911,0.000911,0.000911
112,1346.74,0.8417,0.83166,0.89103,0.97163,1,0.995,0.8955,0.5531,0.85243,1.05166,0.0009011,0.0009011,0.0009011
113,1358.82,0.68486,0.83796,0.86462,0.97163,1,0.995,0.8955,0.5531,0.85243,1.05166,0.0008912,0.0008912,0.0008912
114,1370.59,0.78269,0.85035,0.88376,0.97183,1,0.995,0.8955,0.61107,0.90097,1.07882,0.0008813,0.0008813,0.0008813
115,1382.34,0.83632,0.87125,0.91997,0.97183,1,0.995,0.8955,0.61107,0.90097,1.07882,0.0008714,0.0008714,0.0008714
116,1394.35,0.829,0.9837,0.92357,0.9718,1,0.995,0.8955,0.60115,0.96838,1.04823,0.0008615,0.0008615,0.0008615
117,1406.35,0.7587,0.81244,0.88812,0.9718,1,0.995,0.8955,0.60115,0.96838,1.04823,0.0008516,0.0008516,0.0008516
118,1418.73,0.7622,0.83608,0.91587,0.97214,1,0.995,0.8955,0.75776,0.85861,1.01215,0.0008417,0.0008417,0.0008417
119,1430.8,0.71917,0.78991,0.92203,0.97214,1,0.995,0.8955,0.75776,0.85861,1.01215,0.0008318,0.0008318,0.0008318
120,1442.98,0.69135,0.79359,0.89522,0.97229,1,0.995,0.8955,0.71427,0.8788,0.98546,0.0008219,0.0008219,0.0008219
121,1455.02,0.71007,0.86157,0.89637,0.97229,1,0.995,0.8955,0.71427,0.8788,0.98546,0.000812,0.000812,0.000812
122,1468.13,0.70672,0.80511,0.87826,0.97283,1,0.995,0.8955,0.58806,0.79116,1.06156,0.0008021,0.0008021,0.0008021
123,1481.35,0.76141,0.81629,0.97397,0.97283,1,0.995,0.8955,0.58806,0.79116,1.06156,0.0007922,0.0007922,0.0007922
124,1493.39,0.71835,0.78465,0.87372,0.9729,1,0.995,0.8955,0.56962,0.70183,1.11214,0.0007823,0.0007823,0.0007823
125,1505.26,0.76593,0.77924,0.94563,0.9729,1,0.995,0.8955,0.56962,0.70183,1.11214,0.0007724,0.0007724,0.0007724
126,1517.33,0.7406,0.83101,0.90071,0.9725,1,0.995,0.995,0.35334,0.80491,0.98184,0.0007625,0.0007625,0.0007625
127,1529.4,0.68597,0.82054,0.87691,0.9725,1,0.995,0.995,0.35334,0.80491,0.98184,0.0007526,0.0007526,0.0007526
128,1541.24,0.81428,0.84013,0.89189,0.97218,1,0.995,0.995,0.3548,0.72776,0.97522,0.0007427,0.0007427,0.0007427
129,1554.2,0.72858,0.82578,0.89549,0.97218,1,0.995,0.995,0.3548,0.72776,0.97522,0.0007328,0.0007328,0.0007328
130,1566.78,0.88791,0.84124,0.92444,0.9702,1,0.995,0.796,0.65182,0.80284,1.01903,0.0007229,0.0007229,0.0007229
131,1578.58,0.78907,0.87112,0.92436,0.9702,1,0.995,0.796,0.65182,0.80284,1.01903,0.000713,0.000713,0.000713
132,1590.74,0.78173,0.83527,0.85775,0.96892,1,0.995,0.6965,0.92166,0.83622,1.0841,0.0007031,0.0007031,0.0007031
133,1602.7,0.84785,0.89677,0.92514,0.96892,1,0.995,0.6965,0.92166,0.83622,1.0841,0.0006932,0.0006932,0.0006932
134,1614.77,0.71775,0.79621,0.86928,0.96926,1,0.995,0.796,0.88526,0.85772,1.06181,0.0006833,0.0006833,0.0006833
135,1626.93,0.63218,0.75924,0.8617,0.96926,1,0.995,0.796,0.88526,0.85772,1.06181,0.0006734,0.0006734,0.0006734
136,1638.88,0.67244,0.80266,0.90388,0.9698,1,0.995,0.8955,0.63266,0.78182,1.00986,0.0006635,0.0006635,0.0006635
137,1650.81,0.64326,0.7658,0.89861,0.9698,1,0.995,0.8955,0.63266,0.78182,1.00986,0.0006536,0.0006536,0.0006536
138,1662.57,0.65163,0.79516,0.87544,0.97105,1,0.995,0.995,0.27583,0.74199,0.97102,0.0006437,0.0006437,0.0006437
139,1674.84,0.69358,0.80098,0.88001,0.97105,1,0.995,0.995,0.27583,0.74199,0.97102,0.0006338,0.0006338,0.0006338
140,1686.87,0.71331,0.73372,0.89018,0.97102,1,0.995,0.8955,0.39717,0.65175,0.98669,0.0006239,0.0006239,0.0006239
141,1698.86,0.63662,0.75577,0.87464,0.97102,1,0.995,0.8955,0.39717,0.65175,0.98669,0.000614,0.000614,0.000614
