epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.22476,2.90181,7.30243,1.89221,0,0,0,0,4.20775,6.75965,2.3338,0,0,0
2,9.95431,4.15553,10.4437,2.35331,0,0,0,0,4.08768,7.14376,2.15331,1.9901e-05,1.9901e-05,1.9901e-05
3,14.4446,4.54567,9.75683,2.21696,0,0,0,0,2.09268,5.83922,1.55683,3.9604e-05,3.9604e-05,3.9604e-05
4,18.7448,2.70708,7.36745,1.74351,0,0,0,0,1.74585,4.91003,1.45499,5.9109e-05,5.9109e-05,5.9109e-05
5,23.2385,2.55766,7.76168,1.64752,0,0,0,0,1.69427,4.55795,1.37872,7.8416e-05,7.8416e-05,7.8416e-05
6,27.4602,2.06159,5.72135,1.4351,0.00167,0.5,0.00293,0.00059,1.61143,4.62845,1.23208,9.7525e-05,9.7525e-05,9.7525e-05
7,31.7214,2.37206,4.75393,1.4832,0.00167,0.5,0.00295,0.00089,1.51016,4.48663,1.22571,0.000116436,0.000116436,0.000116436
8,35.9028,2.09518,4.74142,1.25748,0.00333,1,0.01005,0.00432,1.49547,4.40877,1.19707,0.000135149,0.000135149,0.000135149
9,40.0029,1.79737,4.35549,1.10833,0.00333,1,0.01005,0.00289,1.52429,4.35978,1.14747,0.000153664,0.000153664,0.000153664
10,44.2304,1.71656,4.24513,1.09869,0.00333,1,0.01124,0.00466,1.42281,4.31833,1.09843,0.000171981,0.000171981,0.000171981
11,48.3344,1.85599,4.16334,1.11913,0.00333,1,0.01087,0.0056,1.50654,4.21449,1.08229,0.0001901,0.0001901,0.0001901
12,52.8931,1.89372,4.00277,1.10145,0.00333,1,0.01157,0.00678,1.54056,4.20847,1.04356,0.000208021,0.000208021,0.000208021
13,57.0169,1.54533,3.36141,1.04503,0.00333,1,0.01268,0.00865,1.30196,4.16887,0.9983,0.000225744,0.000225744,0.000225744
14,61.0968,1.62809,3.19629,1.07841,0.00333,1,0.01259,0.00914,1.25979,4.1626,0.96784,0.000243269,0.000243269,0.000243269
15,65.1655,1.65706,2.74504,1.18028,0.00333,1,0.01244,0.00604,1.25603,4.13309,0.91857,0.000260596,0.000260596,0.000260596
16,69.1594,1.40217,2.73741,0.98842,0.00333,1,0.01268,0.00887,1.41518,4.13751,0.97703,0.000277725,0.000277725,0.000277725
17,73.1322,1.58008,2.1332,1.0792,0.00333,1,0.01199,0.00873,1.41857,4.16222,0.95881,0.000294656,0.000294656,0.000294656
18,77.0946,1.85293,3.02156,1.24736,0.00333,1,0.01199,0.00873,1.41857,4.16222,0.95881,0.000311389,0.000311389,0.000311389
19,81.3599,1.54648,2.22887,1.00557,0.00333,1,0.01199,0.00582,1.1993,4.01635,0.89079,0.000327924,0.000327924,0.000327924
20,85.8102,1.55898,2.38791,0.99434,0.00333,1,0.01199,0.00582,1.1993,4.01635,0.89079,0.000344261,0.000344261,0.000344261
21,90.5985,1.72698,2.65244,1.03441,0.00333,1,0.01157,0.00562,1.17652,3.9748,0.89082,0.0003604,0.0003604,0.0003604
22,94.7061,1.56856,4.47973,1.0133,0.00333,1,0.01157,0.00562,1.17652,3.9748,0.89082,0.000376341,0.000376341,0.000376341
23,98.9099,1.26057,2.20404,1.02446,0.00333,1,0.01099,0.00535,1.06697,4.06083,0.90825,0.000392084,0.000392084,0.000392084
24,103.32,1.39542,2.23146,1.04226,0.00333,1,0.01099,0.00535,1.06697,4.06083,0.90825,0.000407629,0.000407629,0.000407629
25,107.303,1.36168,2.60412,1.01339,0.00333,1,0.00971,0.00474,0.98357,4.07995,0.93276,0.000422976,0.000422976,0.000422976
26,111.484,1.37421,2.26394,1.02283,0.00333,1,0.00971,0.00474,0.98357,4.07995,0.93276,0.000438125,0.000438125,0.000438125
27,115.853,1.50206,2.55365,1.09519,0.00333,1,0.00985,0.0055,1.01013,4.13063,0.93732,0.000453076,0.000453076,0.000453076
28,120.029,1.7166,3.15693,1.16497,0.00333,1,0.00985,0.0055,1.01013,4.13063,0.93732,0.000467829,0.000467829,0.000467829
29,124.218,1.14438,2.94886,0.91772,0.00333,1,0.0099,0.00524,1.03637,4.15683,0.95267,0.000482384,0.000482384,0.000482384
30,128.463,1.20973,1.84732,1.00614,0.00333,1,0.0099,0.00524,1.03637,4.15683,0.95267,0.000496741,0.000496741,0.000496741
31,132.603,1.37885,2.39654,0.95456,0.00333,1,0.01042,0.00447,0.90348,4.18474,0.94828,0.0005109,0.0005109,0.0005109
32,136.653,1.11207,2.01609,0.97367,0.00333,1,0.01042,0.00447,0.90348,4.18474,0.94828,0.000524861,0.000524861,0.000524861
33,140.73,1.05037,1.8402,0.99122,0.00333,1,0.00966,0.00346,0.83892,4.08725,0.93236,0.000538624,0.000538624,0.000538624
34,145.001,1.12664,2.48368,0.96409,0.00333,1,0.00966,0.00346,0.83892,4.08725,0.93236,0.000552189,0.000552189,0.000552189
35,149.226,1.22012,1.67688,0.91093,0.00333,1,0.0101,0.00433,0.92577,4.10302,0.95892,0.000565556,0.000565556,0.000565556
36,153.53,1.3017,1.78777,0.96352,0.00333,1,0.0101,0.00433,0.92577,4.10302,0.95892,0.000578725,0.000578725,0.000578725
37,158.056,1.36302,2.19132,1.02429,0.00333,1,0.00939,0.00375,0.8585,4.03507,0.93993,0.000591696,0.000591696,0.000591696
38,163.716,1.24349,2.14687,0.86381,0.00333,1,0.00939,0.00375,0.8585,4.03507,0.93993,0.000604469,0.000604469,0.000604469
39,168.702,0.96436,1.74927,0.92548,0.00333,1,0.00896,0.00294,0.87656,4.05874,0.95222,0.000617044,0.000617044,0.000617044
40,172.16,1.24424,1.66827,0.89643,0.00333,1,0.00896,0.00294,0.87656,4.05874,0.95222,0.000629421,0.000629421,0.000629421
41,175.353,1.1821,1.62774,0.92265,0.00333,1,0.00892,0.00293,0.80029,4.1002,0.92855,0.0006416,0.0006416,0.0006416
42,178.82,1.44482,1.74481,1.02204,0.00333,1,0.00892,0.00293,0.80029,4.1002,0.92855,0.000653581,0.000653581,0.000653581
43,182.075,1.13223,2.26881,0.9095,0.00333,1,0.009,0.00294,0.92029,4.1375,0.92564,0.000665364,0.000665364,0.000665364
44,185.324,1.20791,1.63633,0.94394,0.00333,1,0.009,0.00294,0.92029,4.1375,0.92564,0.000676949,0.000676949,0.000676949
45,188.704,0.87759,1.75294,0.8989,0.00333,1,0.00905,0.00362,1.10995,4.08263,0.97063,0.000688336,0.000688336,0.000688336
46,192.233,1.23012,1.52782,0.86981,0.00333,1,0.00905,0.00362,1.10995,4.08263,0.97063,0.000699525,0.000699525,0.000699525
47,195.59,1.06623,1.71031,0.85577,0.00333,1,0.00861,0.00303,1.04925,4.08272,0.94197,0.000710516,0.000710516,0.000710516
48,198.895,1.04672,1.48251,0.86987,0.00333,1,0.00861,0.00303,1.04925,4.08272,0.94197,0.000721309,0.000721309,0.000721309
49,202.203,1.48043,1.90169,0.97637,0.00333,1,0.00854,0.00342,1.06161,4.06731,0.95344,0.000731904,0.000731904,0.000731904
50,205.489,0.91892,1.85515,0.82006,0.00333,1,0.00854,0.00342,1.06161,4.06731,0.95344,0.000742301,0.000742301,0.000742301
51,208.741,1.10198,1.38705,0.84843,0.00333,1,0.00858,0.00343,0.93877,4.01409,0.94424,0.0007525,0.0007525,0.0007525
52,211.826,0.74484,1.46314,0.94783,0.00333,1,0.00858,0.00343,0.93877,4.01409,0.94424,0.000762501,0.000762501,0.000762501
53,215.018,0.9716,1.34797,0.8251,0.00333,1,0.00858,0.00343,0.93877,4.01409,0.94424,0.000772304,0.000772304,0.000772304
54,218.284,0.88569,1.25427,0.89021,0.00333,1,0.00847,0.00339,1.12093,4.06189,0.97824,0.000781909,0.000781909,0.000781909
55,222.191,0.97362,1.44979,0.98544,0.00333,1,0.00847,0.00339,1.12093,4.06189,0.97824,0.000791316,0.000791316,0.000791316
56,226.024,1.02037,1.9234,0.90261,0.00333,1,0.00847,0.00339,1.12093,4.06189,0.97824,0.000800525,0.000800525,0.000800525
57,229.79,1.03234,1.61277,0.87613,0.00333,1,0.00884,0.00354,1.07152,4.01267,0.94271,0.000809536,0.000809536,0.000809536
58,233.268,1.0048,1.94046,0.794,0.00333,1,0.00884,0.00354,1.07152,4.01267,0.94271,0.000818349,0.000818349,0.000818349
59,236.947,1.00016,1.49433,0.91552,0.00333,1,0.00884,0.00354,1.07152,4.01267,0.94271,0.000826964,0.000826964,0.000826964
60,241.148,0.80747,1.43672,0.80974,0.00333,1,0.00881,0.00352,0.77771,3.91397,0.90498,0.000835381,0.000835381,0.000835381
61,244.583,1.14888,1.30091,0.94657,0.00333,1,0.00881,0.00352,0.77771,3.91397,0.90498,0.0008436,0.0008436,0.0008436
62,248.092,0.98529,1.34397,0.88519,0.00333,1,0.00881,0.00352,0.77771,3.91397,0.90498,0.000851621,0.000851621,0.000851621
63,251.74,1.006,1.5229,0.95817,0.00333,1,0.0079,0.00598,0.68583,3.7156,0.90204,0.000859444,0.000859444,0.000859444
64,255.235,0.94909,1.28434,0.89419,0.00333,1,0.0079,0.00598,0.68583,3.7156,0.90204,0.000867069,0.000867069,0.000867069
65,258.621,1.14957,1.7885,0.97323,0.00333,1,0.0079,0.00598,0.68583,3.7156,0.90204,0.000874496,0.000874496,0.000874496
66,262.083,0.97643,1.47094,0.90455,0.00333,1,0.00829,0.00597,0.77436,3.63477,0.90387,0.000881725,0.000881725,0.000881725
67,265.604,1.07422,1.47589,0.90253,0.00333,1,0.00829,0.00597,0.77436,3.63477,0.90387,0.000888756,0.000888756,0.000888756
